127.0.0.1 - - [05/Sep/2018:10:26:54 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:26:56 +0700] "GET /ApplicationSpring05/ HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:26:56 +0700] "GET /ApplicationSpring05/resources/core/css/hello.css;jsessionid=B1433B3AA0625D1830E67E7CA45C83DA HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:26:56 +0700] "GET /ApplicationSpring05/resources/core/css/bootstrap.min.css;jsessionid=B1433B3AA0625D1830E67E7CA45C83DA HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:26:56 +0700] "GET /ApplicationSpring05/resources/core/css/hello.js;jsessionid=B1433B3AA0625D1830E67E7CA45C83DA HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:26:56 +0700] "GET /ApplicationSpring05/resources/core/css/bootstrap.min.js;jsessionid=B1433B3AA0625D1830E67E7CA45C83DA HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:27:30 +0700] "GET /ApplicationSpring05/hello HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:27:54 +0700] "GET /ApplicationSpring05/hello/ong HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:27:54 +0700] "GET /ApplicationSpring05/resources/core/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:27:54 +0700] "GET /ApplicationSpring05/resources/core/css/hello.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:27:54 +0700] "GET /ApplicationSpring05/resources/core/css/hello.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:27:54 +0700] "GET /ApplicationSpring05/resources/core/css/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:41:06 +0700] "GET /ApplicationSpring05/hello/ong HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:41:06 +0700] "GET /ApplicationSpring05/resources/core/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:41:06 +0700] "GET /ApplicationSpring05/resources/core/css/hello.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:41:06 +0700] "GET /ApplicationSpring05/resources/core/css/hello.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:10:41:06 +0700] "GET /ApplicationSpring05/resources/core/css/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:47 +0700] "GET /SpringMVCloginExample/ HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:10:47 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2018:16:54:15 +0700] "GET /ApplicationSpring05/hello/ong HTTP/1.1" 500 5935
